姓名,去向,省份
张*,清华大学,北京
李*,北京大学,北京
王*,复旦大学,上海
赵*,浙江大学,浙江
钱*,上海交通大学,上海
孙*,中国科学技术大学,安徽
周*,南京大学,江苏
吴*,武汉大学,湖北
郑*,中山大学,广东
冯*,华中科技大学,湖北
陈*,四川大学,四川
褚*,山东大学,山东
卫*,吉林大学,吉林
蒋*,同济大学,上海
沈*,北京师范大学,北京
韩*,中国人民大学,北京
杨*,南开大学,天津
朱*,天津大学,天津
秦*,大连理工大学,辽宁
尤*,东北大学,辽宁
许*,哈尔滨工业大学,黑龙江
何*,北京航空航天大学,北京
吕*,北京理工大学,北京
施*,中国农业大学,北京
张**,国防科技大学,湖南
孔**,西北工业大学,陕西
曹**,华东师范大学,上海
严**,上海财经大学,上海
华**,对外经济贸易大学,北京
金**,中央财经大学,北京
魏**,中国政法大学,北京
陶**,北京外国语大学,北京
姜**,外交学院,北京
谢**,国际关系学院,北京
邹**,北京体育大学,北京
柏**,中央音乐学院,北京
水**,中央美术学院,北京
窦**,中央戏剧学院,北京
章**,北京电影学院,北京
云**,中国传媒大学,北京
苏**,北京舞蹈学院,北京
潘**,北京林业大学,北京
葛**,北京中医药大学,北京
奚**,北京协和医学院,北京
范**,首都医科大学,北京
彭**,北京科技大学,北京
郎**,北京化工大学,北京
鲁**,北京邮电大学,北京
韦**,中国地质大学（北京）,北京
昌**,中国矿业大学（北京）,北京
马**,中国石油大学（北京）,北京
苗**,中国农业大学,北京
凤**,北京林业大学,北京
花**,北京体育大学,北京
方**,中央音乐学院,北京
俞**,中央美术学院,北京
任**,中央戏剧学院,北京
袁**,北京电影学院,北京
柳**,中国传媒大学,北京
酆**,北京舞蹈学院,北京
鲍**,北京林业大学,北京
史**,北京中医药大学,北京
唐**,北京协和医学院,北京
费**,首都医科大学,北京
廉**,北京科技大学,北京
岑**,北京化工大学,北京
薛**,北京邮电大学,北京
雷**,中国地质大学（北京）,北京
贺**,中国矿业大学（北京）,北京
倪**,中国石油大学（北京）,北京
汤**,中国农业大学,北京
滕**,北京林业大学,北京
殷**,北京体育大学,北京
罗**,中央音乐学院,北京
毕**,中央美术学院,北京
郝**,中央戏剧学院,北京
邬**,北京电影学院,北京
安**,中国传媒大学,北京
常**,北京舞蹈学院,北京
乐**,北京林业大学,北京
于**,北京中医药大学,北京
时**,北京协和医学院,北京
傅**,首都医科大学,北京
皮**,北京科技大学,北京
卞**,北京化工大学,北京
齐**,北京邮电大学,北京
康**,中国地质大学（北京）,北京
伍**,中国矿业大学（北京）,北京
余**,中国石油大学（北京）,北京
元**,中国农业大学,北京
卜**,北京林业大学,北京
顾**,北京体育大学,北京
孟**,中央音乐学院,北京
平**,中央美术学院,北京
黄**,中央戏剧学院,北京
和**,北京电影学院,北京
穆**,中国传媒大学,北京
萧**,北京舞蹈学院,北京
尹**,北京林业大学,北京
姚**,北京中医药大学,北京
邵**,北京协和医学院,北京
湛**,首都医科大学,北京
汪**,北京科技大学,北京
祁**,北京化工大学,北京
毛**,北京邮电大学,北京
禹**,中国地质大学（北京）,北京
艾**,中国矿业大学（北京）,北京
狄**,中国石油大学（北京）,北京
米**,中国农业大学,北京
贝**,北京林业大学,北京
明**,北京体育大学,北京
臧**,中央音乐学院,北京
计**,中央美术学院,北京
伏**,中央戏剧学院,北京
成**,北京电影学院,北京
戴**,中国传媒大学,北京
谈**,北京舞蹈学院,北京
宋**,北京林业大学,北京
茅**,北京中医药大学,北京
庞**,北京协和医学院,北京
熊**,首都医科大学,北京
纪**,北京科技大学,北京
舒**,北京化工大学,北京
屈**,北京邮电大学,北京
项**,中国地质大学（北京）,北京
祝**,中国矿业大学（北京）,北京
董**,中国石油大学（北京）,北京
梁**,中国农业大学,北京
杜**,北京林业大学,北京
阮**,北京体育大学,北京
蓝**,中央音乐学院,北京
闵**,中央美术学院,北京
席**,中央戏剧学院,北京
季**,北京电影学院,北京
麻**,中国传媒大学,北京
强**,北京舞蹈学院,北京
贾**,北京林业大学,北京
路**,北京中医药大学,北京
娄**,北京协和医学院,北京
危**,首都医科大学,北京
江**,北京科技大学,北京
童**,北京化工大学,北京
颜**,北京邮电大学,北京
郭**,中国地质大学（北京）,北京
梅**,中国矿业大学（北京）,北京
盛**,中国石油大学（北京）,北京
林**,中国农业大学,北京
刁**,北京林业大学,北京
钟**,北京体育大学,北京
徐**,中央音乐学院,北京
邱**,中央美术学院,北京
骆**,中央戏剧学院,北京
高**,北京电影学院,北京
夏**,中国传媒大学,北京
蔡**,北京舞蹈学院,北京
田**,北京林业大学,北京
樊**,北京中医药大学,北京
胡**,北京协和医学院,北京
凌**,首都医科大学,北京
霍**,北京科技大学,北京
虞**,北京化工大学,北京
万**,北京邮电大学,北京
支**,中国地质大学（北京）,北京
柯**,中国矿业大学（北京）,北京
昝**,中国石油大学（北京）,北京
管**,中国农业大学,北京
卢**,北京林业大学,北京
莫**,北京体育大学,北京
经**,中央音乐学院,北京
房**,中央美术学院,北京
裘**,中央戏剧学院,北京
缪**,北京电影学院,北京
干**,中国传媒大学,北京
解**,北京舞蹈学院,北京
应**,北京林业大学,北京
宗**,北京中医药大学,北京
丁**,北京协和医学院,北京
宣**,首都医科大学,北京
贲**,北京科技大学,北京
邓**,北京化工大学,北京
郁**,北京邮电大学,北京
单**,中国地质大学（北京）,北京
杭**,中国矿业大学（北京）,北京
洪**,中国石油大学（北京）,北京
包**,中国农业大学,北京
诸**,北京林业大学,北京
左**,北京体育大学,北京
石**,中央音乐学院,北京
崔**,中央美术学院,北京
吉**,中央戏剧学院,北京
钮**,北京电影学院,北京
龚**,中国传媒大学,北京
程**,北京舞蹈学院,北京
嵇**,北京林业大学,北京
邢**,北京中医药大学,北京
滑**,北京协和医学院,北京
裴**,首都医科大学,北京
陆**,北京科技大学,北京
荣**,北京化工大学,北京
翁**,北京邮电大学,北京
荀**,中国地质大学（北京）,北京
羊**,中国矿业大学（北京）,北京
於**,中国石油大学（北京）,北京
惠**,中国农业大学,北京
甄**,北京林业大学,北京
曲**,北京体育大学,北京
家**,中央音乐学院,北京
封**,中央美术学院,北京
芮**,中央戏剧学院,北京
羿**,北京电影学院,北京
储**,中国传媒大学,北京
靳**,北京舞蹈学院,北京
汲**,北京林业大学,北京
邴**,北京中医药大学,北京
糜**,北京协和医学院,北京
松**,首都医科大学,北京
井**,北京科技大学,北京
段**,北京化工大学,北京
富**,北京邮电大学,北京
巫**,中国地质大学（北京）,北京
乌**,中国矿业大学（北京）,北京
焦**,中国石油大学（北京）,北京
巴**,中国农业大学,北京
弓**,北京林业大学,北京
牧**,北京体育大学,北京
隗**,中央音乐学院,北京
山**,中央美术学院,北京
谷**,中央戏剧学院,北京
车**,北京电影学院,北京
侯**,中国传媒大学,北京
宓**,北京舞蹈学院,北京
蓬**,北京林业大学,北京
全**,北京中医药大学,北京
郗**,北京协和医学院,北京
班**,首都医科大学,北京
仰**,北京科技大学,北京
秋**,北京化工大学,北京
仲**,北京邮电大学,北京
伊**,中国地质大学（北京）,北京
宫**,中国矿业大学（北京）,北京
宁**,中国石油大学（北京）,北京
仇**,中国农业大学,北京
栾**,北京林业大学,北京
暴**,北京体育大学,北京
甘**,中央音乐学院,北京
钭**,中央美术学院,北京
厉**,中央戏剧学院,北京
戎**,北京电影学院,北京
祖**,中国传媒大学,北京
武**,北京舞蹈学院,北京
符**,北京林业大学,北京
刘**,北京中医药大学,北京
景**,北京协和医学院,北京
詹**,首都医科大学,北京
束**,北京科技大学,北京
龙**,北京化工大学,北京
叶**,北京邮电大学,北京
幸**,中国地质大学（北京）,北京
司**,中国矿业大学（北京）,北京
韶**,中国石油大学（北京）,北京
郜**,中国农业大学,北京
黎**,北京林业大学,北京
蓟**,北京体育大学,北京
薄**,中央音乐学院,北京
印**,中央美术学院,北京
